id;imdb_id;title;original_title;overview;vote_average;vote_count;popularity;revenue;budget
381262;tt4228810;In Her Name;Au nom de ma fille;"In 1982, André Bamberski learns about the death of his 14 year-old daughter, Kalinka, while she was on vacation with her mother and stepfather in Germany. Convinced that Kalinka’s death was not an accident, Bamberski begins to investigate. A botched autopsy report raises his suspicions and leads him to accuse Kalinka’s stepfather, Dr Dieter Krombach, as the murderer. Unable to indict Krombach in Germany, Bamberski attempts to take the trial to France, where he will dedicate his life to Kalinka’s justice and the imprisonment of Krombach.";6.6;198;9.803;1600000;0
13312;tt0856288;Inside;À l'intérieur;Four months after the death of her husband, a woman on the brink of motherhood is tormented in her home by a strange woman who wants her unborn baby.;6.7;462;9.789;0;3000000
327040;tt3838728;Bang Gang (A Modern Love Story);Bang Gang (une histoire d'amour moderne);Biarritz. Sixteen-year-old George, the high school hottie, falls in love with Alex. To get his attention, she initiates a group game with Alex, Nikita, Laetitia and Gabriel. They will discover, test, and push the limits of their sexuality.;4.9;203;2.944;0;0
4480;tt0091288;Jean de Florette;Jean de Florette;In a rural French village, an old man and his only remaining relative cast their covetous eyes on an adjoining vacant property. They need its spring water for growing their flowers, and are dismayed to hear that the man who has inherited it is moving in. They block up the spring and watch as their new neighbour tries to keep his crops watered from wells far afield through the hot summer. Though they see his desperate efforts are breaking his health and his wife and daughter's hearts, they think only of getting the water.;7.7;330;9.772;0;4940939
421447;tt5157682;The Climb;L'Ascension;A true story of Samy, native of La Courneuve, who is out of love for Nadia, decides to climb Mount Everest.;6.8;633;9.758;0;6600000
586940;tt9806192;I Lost My Body;J'ai perdu mon corps;A story of Naoufel, a young man who is in love with Gabrielle. In another part of town, a severed hand escapes from a dissection lab, determined to find its body again.;7.6;822;9.746;0;0
258;tt0065651;Bed and Board;Domicile conjugal;Parisian everyman Antoine Doinel has married his sweetheart Christine Darbon, and the newlyweds have set up a cozy domestic life of selling flowers and giving violin lessons while Antoine fitfully works on his long-gestating novel. As Christine becomes pregnant with the couple's first child, Antoine finds himself enraptured with a young Japanese beauty. The complications change the course of their relationship forever.;7.3;137;9.738;0;0
41211;tt1465487;Heartbreaker;L'arnacoeur;Alex and his sister run a business designed to break up relationships. They are hired by a rich man to break up the wedding of his daughter. The only problem is that they only have one week to do so.;6.6;1015;9.719;47355187;8700000
902;tt0112682;The City of Lost Children;La Cité des Enfants Perdus;A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.;7.4;672;9.708;1738611;18000000
15588;tt1167660;OSS 117: Lost in Rio;OSS 117 : Rio ne répond plus;French top secret agent, Hubert Bonisseur de la Bath, is sent to Rio to buy microfilms from a running nazi. To do so, he has to team up with Mossad secret services.;7.2;930;9.686;0;31165200
38846;tt1263778;The Beautiful Person;La belle personne;In the wake of her mother's tragic death, French teenager Junie transfers to a different high school. Though Junie lives mostly inside her own head, her beauty and stoicism win her the attention of the entire male student population. Junie begins dating the gentle Otto Cleves, but finds herself intensely drawn to her youthful Italian language teacher, Nemours. When Nemours begins to reciprocate, serious complications ensue.;6.4;147;9.677;0;0
169020;tt2293138;Vive la France;Vive la France;Muzafar and Feruz are two easy going shepherds from Taboulistan, a tiny country in Asia that is unknown to the rest of the world. To alert the world to his country’s existence, the son of Taboulistan’s president decides to instigate a program of publicity terrorism. To that end, he recruits our two naive shepherds, their mission: to destroy the Eiffel Tower! But the France that Muzafar and Feruz discover is far from what they had expected...;5.2;270;9.665;0;0
14257;tt0067108;Delusions of Grandeur;La Folie des grandeurs;Don Sallust (Louis de Funès) is minister of the King of Spain. It is a being disingenuous, hypocritical and greedy that collects the taxes himself, he turns in part to his advantage. He is hated by the people he oppresse.Accusé by Queen, a beautiful princess Bavarian, of having an illegitimate child to one of her maids of honor, he was stripped of his duties and ordered to retire to a monastery. Decided to revenge, it comes in contact with his nephew seducing Caesar ...;7.5;468;9.599;0;0
44706;tt0119863;The Bet;Le Pari;"Two rival ""brothers-in-law"" make a bet that they can stop smoking for 2 weeks. But, it's just not that easy...";6.3;316;9.567;0;0
30970;tt0216625;Code Unknown;Code inconnu;A series of events unfold like a chain reaction, all stemming from a minor event that brings the film's five characters together. Set in Paris, France, Anne is an actress whose boyfriend Georges photographs the war in Kosovo. Georges' brother, Jean, is looking for the entry code to Georges' apartment. These characters lives interconnect with a Romanian immigrant and a deaf teacher.;6.9;132;9.554;95242;0
121875;tt1964624;In the House;Dans la maison;A sixteen-year-old boy insinuates himself into the house of a fellow student from his literature class and writes about it in essays for his French teacher. Faced with this gifted and unusual pupil, the teacher rediscovers his enthusiasm for his work, but the boy’s intrusion will unleash a series of uncontrollable events.;7.3;577;9.55;11879046;0
1716;tt0080610;The Last Metro;Le Dernier Métro;In occupied Paris, an actress married to a Jewish theater owner must keep him hidden from the Nazis while doing both of their jobs.;7.3;270;9.54;0;0
13672;tt1130988;JCVD;JCVD;Between his tax problems and his legal battle with his wife for the custody of his daughter, these are hard times for the action movie star who finds that even Steven Seagal has pinched a role from him! Jean-Claude Van Damme returns to the country of his birth to seek the peace and tranquility he can no longer enjoy in the United States.;6.7;326;9.522;276891;6000000
7291;tt0390808;36th Precinct;36 Quai des Orfèvres;The film takes place in Paris, where two cops are competing for the vacant seat of chief of police while in the middle of a search for a gang of violent thieves. The movie is directed by Olivier Marchal, a former police officer who spent 12 years with the French police before creating this story, which is taken in part from real facts that happened during the 1980s in France.;6.8;354;9.514;0;0
9369;tt0109162;Asterix Conquers America;Astérix et les Indiens;When marauding Romans capture - and catapult - their pal Getafix into lands unknown, the shrewd and cunning Asterix and his able sidekick Obelix spring into action! But their journey leads them to a strange and dangerous new world, where they must face a tribe of Indians, a stampeding herd of buffalo and a medicine man with designs on their magic potion!;6.2;393;9.512;0;0
14283;tt0120802;The Red Violin;Le violon rouge;Spans 300 years in the life of one famed musical instrument that winds up in present-day Montreal on the auction block. Crafted by the Italian master Bussotti (Cecchi) in 1681, the red violin derives its unusual color from the human blood mixed into the finish. With this legacy, the violin travels to Austria, England, China, and Canada, leaving both beauty and tragedy in its wake.;7.5;253;9.511;9495408;18000000
542830;tt8201404;Little White Lies 2;Nous finirons ensemble;"The result of the small handkerchiefs ""Petits mouchoirs"", 7 years later. The band, which erupted, is found on the occasion of the anniversary surprise organized for Max.";6.8;520;9.506;0;0
75198;tt1890377;Welcome Aboard;Bienvenue à bord;Isabelle, HR of a large cruise company, made the mistake of choosing her boss as a lover. Before embarking on the maiden voyage of the new flagship of the fleet, though, he decided to disembark from their relationship! Some women take their revenge by poison, firearm, or slander. Isabelle chooses Remy a flamboyant, unemployed ne'er-do-well who flunked out in life on land, but after all is said and done, might have better luck at sea... She recruits him as leader of her plot and on this Palace of the Seas, Remy will first prove to be the worst nightmare of the CEO and Richard, the Cruise Director...then, little by little, he will change his life and that of all those who cross his path...;5.5;390;9.496;0;12000000
41201;tt0775489;The Illusionist;L'illusionniste;A French illusionist travels to Scotland to work. He meets a young woman in a small village. Their ensuing adventure in Edinburgh changes both their lives forever.;7.3;395;9.486;6007194;18000000
415010;tt6243140;Ravenous;Les affamés;In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them.;5.8;250;9.461;0;3000000
118293;tt1655413;The Suicide Shop;Le magasin des suicides;In a cold French city where suicide is a common urge, there is a colorful shop, managed for many years by the Tuvache family, where it is very easy to obtain the necessary tools to satisfy the sinister desires of so many depressed citizens.;6.4;433;9.438;2514478;0
